Ad No,Name,Price,Model Year,Location,Mileage,Registered City,Engine Type,Engine Capacity,Transmission,Color,Assembly,Body Type,Features,Last Updated,URL
4096758,Toyota Vitz F 1.0 2017,2385000,2017," G- 8, Islamabad Islamabad",9869,Un-Registered,1,1000,1,Silver,Imported,1," ABS, AM/FM Radio, Air Bags, Air Conditioning, CD Player, DVD Player, Immobilizer Key, Keyless Entry, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows",11-Jul-20,https://www.pakwheels.com/used-cars/toyota-vitz-2017-for-sale-in-islamabad-4096758
4168305,Toyota Corolla GLi Automatic 1.3 VVTi 2019,111000,2019, Peshawar KPK,11111,Islamabad,1,1300,1,White,Local,2," ABS, AM/FM Radio, Air Bags, Air Conditioning, CD Player, DVD Player, Immobilizer Key, Keyless Entry, Power Locks, Power Mirrors, Power Steering, Power Windows",12-Jul-20,https://www.pakwheels.com/used-cars/toyota-corolla-2019-for-sale-in-peshawar-4168305
4168298,Suzuki Alto VXL 2019,1530000,2019," Akora Khattak, Nowshera KPK",17500,Un-Registered,1,660,1,White,Local,1," ABS, AM/FM Radio, Air Bags, Air Conditioning, Immobilizer Key, Keyless Entry, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows",12-Jul-20,https://www.pakwheels.com/used-cars/suzuki-alto-2019-for-sale-in-nowshera-4168298
4168307,Suzuki Alto VXR 2019,1650000,2019," Abdullahpur, Faisalabad Punjab",9600,Lahore,1,660,2,White,Local,1," AM/FM Radio, Air Bags, Air Conditioning, DVD Player, Immobilizer Key, Keyless Entry, Power Locks, Power Steering",12-Jul-20,https://www.pakwheels.com/used-cars/suzuki-alto-2019-for-sale-in-faisalabad-4168307
4168306,Toyota Corolla XLi VVTi 2010,1435000,2010," 9th Avenue, Islamabad Islamabad",120000,Islamabad,1,1300,2,Black,Local,2," AM/FM Radio, Air Conditioning, CD Player, Keyless Entry, Power Locks, Power Steering",12-Jul-20,https://www.pakwheels.com/used-cars/toyota-corolla-2010-for-sale-in-islamabad-4168306
4168303,Honda Civic 1.5 RS Turbo 2017,3850000,2017," Peshawar Road, Rawalpindi Punjab",22000,Islamabad,1,1500,1,Black,Local,2," ABS, AM/FM Radio, Air Bags, Air Conditioning, Alloy Rims, CD Player, Cruise Control, DVD Player, Immobilizer Key, Keyless Entry, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows, Sun Roof",12-Jul-20,https://www.pakwheels.com/used-cars/honda-civic-2017-for-sale-in-rawalpindi-4168303
4168304,Suzuki Wagon R VXL 2017,1440000,2017," Gulberg, Lahore Punjab",31000,Lahore,1,1000,2,White,Local,1," AM/FM Radio, Air Conditioning, Alloy Rims, CD Player, Immobilizer Key, Keyless Entry, Power Locks, Power Steering, Power Windows",12-Jul-20,https://www.pakwheels.com/used-cars/suzuki-wagon-r-2017-for-sale-in-lahore-4168304
4168309,Mitsubishi Mirage 1.0 G 2012,1425000,2012," Askari-X, Lahore Punjab",101000,Lahore,1,1000,1,Black,Imported,1," ABS, Air Bags, Air Conditioning, Alloy Rims, CD Player, DVD Player, Immobilizer Key, Keyless Entry, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows",12-Jul-20,https://www.pakwheels.com/used-cars/mitsubishi-mirage-2012-for-sale-in-lahore-4168309
4168310,Toyota Prado TZ 3.0D 1998,2650000,1998, Sargodha Punjab,110000,Rawalpindi,2,3000,1,Beige,Imported,3," ABS, AM/FM Radio, Air Bags, Air Conditioning, Alloy Rims, CD Player, DVD Player, Immobilizer Key, Keyless Entry, Power Locks, Power Mirrors, Power Steering, Power Windows, Sun Roof",12-Jul-20,https://www.pakwheels.com/used-cars/toyota-prado-1998-for-sale-in-sargodha-4168310
4168311,Honda Civic Oriel 1.8 i-VTEC CVT 2017,3350000,2017," Air Avenue, Lahore Punjab",60000,Lahore,1,1800,1,White,Local,2," ABS, AM/FM Radio, Air Bags, Air Conditioning, Alloy Rims, CD Player, Cruise Control, Immobilizer Key, Keyless Entry, Power Locks, Power Mirrors, Power Steering, Power Windows, Sun Roof",12-Jul-20,https://www.pakwheels.com/used-cars/honda-civic-2017-for-sale-in-lahore-4168311
4168315,Honda Vezel Hybrid X 2014,3200000,2014, Karachi Sindh,91000,Karachi,3,1500,1,Black,Imported,5," ABS, AM/FM Radio, Air Bags, Air Conditioning, Alloy Rims, CD Player, Cruise Control, DVD Player, Immobilizer Key, Keyless Entry, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows",12-Jul-20,https://www.pakwheels.com/used-cars/honda-vezel-2014-for-sale-in-karachi-4168315
4168312,Honda City 1.3 i-VTEC 2017,1990000,2017, Lahore Punjab,75000,Lahore,1,1300,2,White,Local,2," ABS, AM/FM Radio, Air Conditioning, CD Player, DVD Player, Immobilizer Key, Keyless Entry, Power Locks, Power Mirrors, Power Steering, Power Windows",12-Jul-20,https://www.pakwheels.com/used-cars/honda-city-2017-for-sale-in-lahore-4168312
4168317,Honda N Wgn Custom G 2016,185000,2016," Green City, Lahore Punjab",20000,Lahore,1,660,1,Black,Imported,1," ABS, AM/FM Radio, Air Bags, Air Conditioning, Alloy Rims, CD Player, DVD Player, Keyless Entry, Power Locks, Power Mirrors, Power Steering, Power Windows",12-Jul-20,https://www.pakwheels.com/used-cars/honda-n-wgn-2016-for-sale-in-lahore-4168317
4168320,Suzuki Cultus EURO II 2012,920000,2012," Bismillah Housing Scheme, Lahore Punjab",83000,Lahore,1,1000,2,Grey,Local,1," AM/FM Radio, Air Conditioning, CD Player",12-Jul-20,https://www.pakwheels.com/used-cars/suzuki-cultus-2012-for-sale-in-lahore-4168320
4168316,Toyota Corolla GLi Automatic 1.3 VVTi 2018,2750000,2018, Jehlum Punjab,51240,Islamabad,1,1300,1,White,Local,2," ABS, AM/FM Radio, Air Bags, Air Conditioning, CD Player, DVD Player, Immobilizer Key, Keyless Entry, Power Locks, Power Mirrors, Power Steering, Power Windows",12-Jul-20,https://www.pakwheels.com/used-cars/toyota-corolla-2018-for-sale-in-jehlum-4168316
4168326,Honda N Wgn Custom G Turbo 2017,1150000,2017," Gulshan Abad, Rawalpindi Punjab",100000,Islamabad,1,660,1,Black,Imported,1," ABS, AM/FM Radio, Air Bags, Air Conditioning, Alloy Rims, CD Player, Cruise Control, DVD Player, Keyless Entry, Power Locks, Power Mirrors, Power Steering, Power Windows",12-Jul-20,https://www.pakwheels.com/used-cars/honda-n-wgn-2017-for-sale-in-rawalpindi-4168326
4168318,Honda City i-DSI 2004,910000,2004," Thokar Niaz Baig, Lahore Punjab",150000,Karachi,1,1300,2,Grey,Local,2," AM/FM Radio, Air Conditioning, Cassette Player, Power Locks, Power Mirrors, Power Steering, Power Windows",12-Jul-20,https://www.pakwheels.com/used-cars/honda-city-2004-for-sale-in-lahore-4168318
4168321,Toyota Fortuner 2.8 Sigma 4 2018,8650000,2018, Lahore Punjab,35000,Islamabad,2,2800,1,White,Local,3," ABS, AM/FM Radio, Air Bags, Air Conditioning, Alloy Rims, CD Player, CoolBox, Cruise Control, DVD Player, Immobilizer Key, Keyless Entry, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows",12-Jul-20,https://www.pakwheels.com/used-cars/toyota-fortuner-2018-for-sale-in-lahore-4168321
4168327,Suzuki Wagon R FX Limited 2016,1625000,2016," Sui Northern Gas Housing Society, Lahore Punjab",45000,Un-Registered,1,660,1,Brown,Imported,1," ABS, AM/FM Radio, Air Bags, Air Conditioning, CD Player, DVD Player, Immobilizer Key, Keyless Entry, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows",12-Jul-20,https://www.pakwheels.com/used-cars/suzuki-wagon-r-2016-for-sale-in-lahore-4168327
4168328,Honda City 1.3 i-VTEC 2016,2100000,2016," Awan Town, Lahore Punjab",58000,Lahore,1,1300,2,White,Local,2," ABS, AM/FM Radio, Air Conditioning, CD Player, DVD Player, Immobilizer Key, Keyless Entry, Power Locks, Power Mirrors, Power Steering, Power Windows",12-Jul-20,https://www.pakwheels.com/used-cars/honda-city-2016-for-sale-in-lahore-4168328
4099087,Toyota Vitz FL 1.0 2001,965000,2001," Johar Town, Lahore Punjab",135000,Karachi,1,1000,1,Pink,Imported,1," ABS, AM/FM Radio, Air Bags, Air Conditioning, CD Player, Keyless Entry, Power Locks, Power Mirrors, Power Steering, Power Windows",12-Jul-20,https://www.pakwheels.com/used-cars/toyota-vitz-2001-for-sale-in-lahore-4099087
4168332,Suzuki Mehran VX Euro II 2018,840000,2018, Sargodha Punjab,55000,Islamabad,1,800,2,White,Local,1," AM/FM Radio, Immobilizer Key",12-Jul-20,https://www.pakwheels.com/used-cars/suzuki-mehran-2018-for-sale-in-sargodha-4168332
4134040,Honda N One Premium 2012,1485000,2012," Johar Town, Lahore Punjab",74000,Lahore,1,660,1,Assembly,Imported,1," ABS, AM/FM Radio, Air Bags, Air Conditioning, Alloy Rims, CD Player, Climate Control, DVD Player, Front Speakers, Immobilizer Key, Keyless Entry, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear Camera, Rear speakers, Steering Switches, USB and Auxillary Cable",12-Jul-20,https://www.pakwheels.com/used-cars/honda-n-one-2012-for-sale-in-lahore-4134040
4168333,Suzuki Khyber Plus 2000,400000,2000," MDA Chowk, Multan Punjab",90000,Multan,1,1000,2,Assembly,Local,1," Air Conditioning, Alloy Rims, Cassette Player, Power Locks, Power Windows",12-Jul-20,https://www.pakwheels.com/used-cars/suzuki-khyber-2000-for-sale-in-multan-4168333
4103771,Honda Civic VTi 1.8 i-VTEC 2012,1985000,2012," Johar Town, Lahore Punjab",95000,Lahore,1,1800,2,White,Local,2," ABS, AM/FM Radio, Air Bags, Air Conditioning, Alloy Rims, CD Player, Front Speakers, Immobilizer Key, Keyless Entry, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear speakers, Steering Switches",12-Jul-20,https://www.pakwheels.com/used-cars/honda-civic-2012-for-sale-in-lahore-4103771
4098090,Toyota Corolla Altis Automatic 1.6 2016,2445000,2016," Johar Town, Lahore Punjab",96000,Lahore,1,1600,1,Black,Local,2," ABS, AM/FM Radio, Air Bags, Air Conditioning, Alloy Rims, CD Player, DVD Player, Front Speakers, Immobilizer Key, Keyless Entry, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear Camera, Rear speakers, Steering Switches, USB and Auxillary Cable",12-Jul-20,https://www.pakwheels.com/used-cars/toyota-corolla-2016-for-sale-in-lahore-4098090
4168339,Toyota Corolla XLi VVTi Ecotec 2011,1360000,2011," Bismillah Housing Scheme, Lahore Punjab",125000,Lahore,1,1300,2,White,Local,2," AM/FM Radio, Air Conditioning, CD Player, Keyless Entry, Power Steering",12-Jul-20,https://www.pakwheels.com/used-cars/toyota-corolla-2011-for-sale-in-lahore-4168339
